student_id,accuracy,avg_time,avg_attempts,hint_rate,learner_type
S001,0.3,89.8,2.95,2.2,Struggling
S002,0.35,84.15,2.75,2.1,Struggling
S003,0.6,61.0,2.35,1.45,Average
S004,0.3,94.8,3.05,1.9,Struggling
S005,0.85,35.5,1.5,0.4,Advanced
S006,0.25,84.75,2.7,2.25,Struggling
S007,0.8,36.85,1.45,0.55,Advanced
S008,0.25,87.6,2.8,2.3,Struggling
S009,0.55,96.15,3.1,2.05,Average
S010,0.5,56.6,2.2,0.9,Average
S011,0.95,36.6,1.5,0.6,Advanced
S012,0.7,33.15,1.45,0.65,Average
S013,0.65,60.65,2.25,1.1,Average
S014,0.85,35.75,1.5,0.6,Advanced
S015,0.6,58.9,2.05,1.1,Average
S016,0.3,91.9,3.0,2.2,Struggling
S017,0.3,88.75,2.8,1.65,Struggling
S018,0.6,35.0,1.35,0.65,Average
S019,0.75,37.75,1.55,0.4,Advanced
S020,0.7,56.1,2.0,1.1,Average
S021,0.2,88.85,3.1,2.0,Struggling
S022,0.15,86.1,2.95,2.1,Struggling
S023,0.7,36.2,1.65,0.6,Average
S024,0.4,57.8,1.9,1.05,Average
S025,0.8,35.55,1.5,0.55,Advanced
S026,0.7,60.05,2.45,1.4,Average
S027,0.85,35.9,1.7,0.55,Advanced
S028,0.25,91.1,3.0,2.0,Struggling
S029,0.8,34.65,1.4,0.7,Advanced
S030,0.55,57.1,2.15,1.15,Average
S031,0.7,37.35,1.45,0.5,Average
S032,0.55,59.2,2.2,0.7,Average
S033,0.85,38.2,1.55,0.6,Advanced
S034,0.35,89.5,3.1,2.15,Struggling
S035,0.3,90.85,2.9,1.85,Struggling
S036,0.65,56.45,2.1,1.15,Average
S037,0.95,35.75,1.4,0.55,Advanced
S038,0.8,34.0,1.6,0.7,Advanced
S039,0.45,92.45,2.7,1.9,Average
S040,0.85,35.7,1.5,0.2,Advanced
S041,0.05,89.55,3.25,2.2,Struggling
S042,0.35,85.9,2.75,1.95,Struggling
S043,0.15,91.75,3.2,2.0,Struggling
S044,0.35,87.75,2.85,1.95,Struggling
S045,0.8,35.05,1.4,0.65,Advanced
S046,0.5,62.95,2.1,1.1,Average
S047,0.8,60.75,2.25,0.65,Advanced
S048,0.8,35.55,1.45,0.45,Advanced
S049,0.7,59.85,1.9,0.9,Average
S050,0.6,57.4,1.8,0.8,Average
S051,0.6,61.9,2.05,1.15,Average
S052,0.7,57.0,1.9,0.9,Average
S053,0.4,85.85,2.75,2.1,Average
S054,0.75,63.95,1.85,0.85,Advanced
S055,0.3,88.85,2.55,1.7,Struggling
S056,0.75,37.1,1.55,0.35,Advanced
S057,0.35,86.15,2.9,2.05,Struggling
S058,0.5,62.55,1.7,1.05,Average
S059,0.85,37.6,1.5,0.55,Advanced
S060,0.4,58.2,1.85,1.25,Average
S061,0.3,88.15,3.0,2.0,Struggling
S062,0.8,37.3,1.4,0.5,Advanced
S063,0.25,93.7,3.1,2.0,Struggling
S064,0.65,38.25,1.5,0.55,Average
S065,0.6,60.95,2.1,1.05,Average
S066,0.35,99.7,3.1,1.8,Struggling
S067,0.55,58.45,2.4,1.15,Average
S068,0.7,55.4,2.25,1.05,Average
S069,0.25,82.0,3.15,2.05,Struggling
S070,0.65,35.55,1.6,0.55,Average
S071,0.55,55.05,2.15,0.95,Average
S072,0.05,83.95,2.95,1.9,Struggling
S073,0.6,39.7,1.5,0.5,Average
S074,0.1,90.75,3.15,1.8,Struggling
S075,0.3,90.9,3.0,2.15,Struggling
S076,0.4,97.75,2.8,2.05,Average
S077,0.8,34.9,1.65,0.55,Advanced
S078,0.45,61.9,1.85,0.8,Average
S079,0.95,36.8,1.55,0.65,Advanced
S080,0.75,37.75,1.65,0.55,Advanced
S081,0.35,86.0,2.75,2.2,Struggling
S082,0.35,99.6,3.0,1.95,Struggling
S083,0.35,89.75,2.75,1.9,Struggling
S084,0.45,91.0,3.1,2.0,Average
S085,0.35,88.6,2.95,1.85,Struggling
S086,0.4,87.8,2.95,1.9,Average
S087,0.4,61.8,2.25,0.8,Average
S088,0.75,35.1,1.5,0.6,Advanced
S089,0.8,34.7,1.55,0.6,Advanced
S090,0.7,63.85,2.35,0.85,Average
S091,0.8,33.4,1.55,0.5,Advanced
S092,0.55,58.95,2.15,1.25,Average
S093,0.65,31.7,1.35,0.45,Average
S094,0.55,59.1,2.05,0.9,Average
S095,0.55,59.65,1.95,0.95,Average
S096,0.15,92.55,2.85,2.05,Struggling
S097,0.75,60.8,1.75,0.75,Advanced
S098,0.25,90.35,3.25,1.95,Struggling
S099,0.65,33.9,1.5,0.45,Average
S100,0.6,62.0,1.8,0.95,Average
